,index,Position,Track Name,Artist,Streams,URL,date
169,169,170,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,21926,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,2019-01-06
170,170,171,Egotistic,MAMAMOO,21837,https://open.spotify.com/track/5Z4aqpT39KpY8gbHoJWdou,2019-01-06
171,171,172,มันเป็นใคร,Polycat,21735,https://open.spotify.com/track/4PXdOchDL7aUZghQobIlhX,2019-01-06
172,172,173,ลืมไปก่อน,Buddha Bless,21710,https://open.spotify.com/track/4FqihJCXbisi7QYobU7ff6,2019-01-06
173,173,174,ถ้าเธอต้องเลือก,Illslick,21661,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad,2019-01-06
174,174,175,Look Back at It,A Boogie Wit da Hoodie,21550,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-06
175,175,176,Smoke,Violette Wautier,21527,https://open.spotify.com/track/4QWno5VXD5LMpoQQlNrJNQ,2019-01-06
176,176,177,Gashina,SUNMI,21516,https://open.spotify.com/track/0jFHMDRXxKaREor3hBEEST,2019-01-06
177,177,178,ถ้าหาก,Two Popetorn,21508,https://open.spotify.com/track/3o5FB7uyNadcadhKe3GP32,2019-01-06
178,178,179,ไวน์,Max Jenmana,21396,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW,2019-01-06
179,179,180,I'm a Mess,Bebe Rexha,21078,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2019-01-06
180,180,181,Way Back Home,SHAUN,21064,https://open.spotify.com/track/3NxuezMdSLgt4OwHzBoUhL,2019-01-06
181,181,182,หากวันนั้น,Room 39,20997,https://open.spotify.com/track/4hy03eg0PksOEJraNfqb1O,2019-01-06
182,182,183,Lost In Japan,Shawn Mendes,20983,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019-01-06
183,183,184,lovely,Billie Eilish,20859,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019-01-06
184,184,185,เพื่อนรัก,The Parkinson,20739,https://open.spotify.com/track/02ILnpL8IvIa9IQX7sSO9I,2019-01-06
185,185,186,ฝันหวานอายจูบ,Stamp,20664,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv,2019-01-06
186,186,187,เจ็บจนไม่เข้าใจ,PORTRAIT,20419,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa,2019-01-06
187,187,188,Fallin' All In You,Shawn Mendes,20355,https://open.spotify.com/track/5EYBryPOgIEPB7r5QIy6eG,2019-01-06
188,188,189,ร่มสีเทา,Whatcharawale,20338,https://open.spotify.com/track/6z56u8jPSSroDFrJVD5cMf,2019-01-06
189,189,190,BBoom BBoom,MOMOLAND,20258,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,2019-01-06
190,190,191,หน่วง,Room 39,20220,https://open.spotify.com/track/1DwuRmCQZ3YHfUrZZUJHcu,2019-01-06
191,191,192,เอาไว้ค่อยคุย,Gliss,20207,https://open.spotify.com/track/7kPt9mmvufI8A99lvwlzAB,2019-01-06
192,192,193,รู้ทั้งรู้,OG-ANIC,20112,https://open.spotify.com/track/0KnDJSGxu03x8idlKLKKki,2019-01-06
193,193,194,Peek-A-Boo,Red Velvet,20110,https://open.spotify.com/track/42tFTth2jcF7iSo0RBjfJF,2019-01-06
194,194,195,ZEZE (feat. Travis Scott & Offset),Kodak Black,20067,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-06
195,195,196,Lover Boy,Phum Viphurit,20021,https://open.spotify.com/track/2rd4FH1cSaWGc0ZiUaMbX9,2019-01-06
196,196,197,วู่วาม - Unreleased Version,Season Five,20015,https://open.spotify.com/track/2nAUhnLMltzWOHCnjAUsGd,2019-01-06
197,197,198,Solo (feat. Demi Lovato),Clean Bandit,20006,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019-01-06
198,198,199,รถคันเก่า,Atom Chanakan,19961,https://open.spotify.com/track/5tYSThnYOKQCEjtvFiGcL0,2019-01-06
199,199,200,กำลังจะ,Illslick,19935,https://open.spotify.com/track/18kwPdB3Bx8n9Mk4YsO6LT,2019-01-06
200,0,1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,223461,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-13
201,1,2,SOLO,JENNIE,209259,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-13
202,2,3,ลาลาลอย (100%),The Toys,162226,https://open.spotify.com/track/3f3L2MP4oniV1bmSxGbcW4,2019-01-13
203,3,4,ซ่อนกลิ่น,Palmy,159411,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d,2019-01-13
204,4,5,"thank u, next",Ariana Grande,137111,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-13
