,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
54,0.407,0.18,115.124,0.046,0.476,0.0,4,0.584,1,246735,-7.356,0.341,0,audio_features,spotify:track:5rFj8OzffT0iggSjcBaeND
55,0.875,0.0783,155.97,0.0565,0.00945,0.0,4,0.453,4,263105,-4.103,0.336,0,audio_features,spotify:track:6FZfxnZ1qoVoL5EpQXXWOx
56,0.707,0.294,118.011,0.0307,0.331,0.0,4,0.806,7,209648,-4.623,0.746,1,audio_features,spotify:track:6qAzAmPBUpGrk7XADZHR5k
57,0.568,0.0685,129.935,0.0298,0.121,0.000109,4,0.646,7,244000,-7.766,0.537,1,audio_features,spotify:track:0shHJQJP1RLvxxLiSPYzI5
58,0.598,0.465,91.983,0.0544,0.209,1.05e-05,4,0.715,0,202000,-7.161,0.558,1,audio_features,spotify:track:1OCWm66r2PwI8RsspEMfzD
59,0.563,0.125,147.05,0.105,0.489,1.14e-06,4,0.802,11,212474,-7.311,0.347,0,audio_features,spotify:track:1aHxAPhylGcp9MjomzD6fN
60,0.701,0.372,125.979,0.0297,0.566,0.00602,3,0.492,6,318285,-5.023,0.231,1,audio_features,spotify:track:0N6LtfTaauUS8o69K4xmS7
61,0.623,0.068,104.971,0.136,0.228,0.0,4,0.915,2,213881,-6.763,0.2,1,audio_features,spotify:track:0WzXG8hRLWlbgM0UYvGOIv
62,0.913,0.166,137.982,0.0374,0.0514,3.71e-06,4,0.702,11,237685,-2.977,0.735,1,audio_features,spotify:track:184XtKkzoAl83quIarUAJP
63,0.853,0.0759,125.034,0.0816,0.0688,0.0,4,0.786,8,213264,-2.687,0.45,1,audio_features,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot
64,0.617,0.3,143.894,0.331,0.241,0.0,4,0.839,7,194426,-4.692,0.821,1,audio_features,spotify:track:4as4XEOR03oGm1STUKl6pa
65,0.842,0.0683,115.944,0.1,0.237,0.0,4,0.686,0,224483,-4.423,0.519,1,audio_features,spotify:track:3RqZIrpndez8Iu5J5BsmnV
66,0.541,0.13,124.959,0.0505,0.568,0.0,4,0.851,0,235545,-6.825,0.448,1,audio_features,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8
67,0.482,0.1,150.059,0.101,0.836,0.00247,4,0.695,5,251031,-8.232,0.373,0,audio_features,spotify:track:7EiesOznEUAta5QIb89I7e
68,0.505,0.104,91.97,0.253,0.535,2.55e-06,4,0.752,9,197437,-7.621,0.419,1,audio_features,spotify:track:2P91MQbaiQOfbiz9VqhqKQ
69,0.85,0.114,150.059,0.0317,0.012,0.000239,4,0.719,2,188786,-3.229,0.367,1,audio_features,spotify:track:006LuHbY5Tt9dhbdSOnVq6
70,0.683,0.137,96.133,0.117,0.0372,0.0,4,0.697,1,186987,-2.881,0.603,0,audio_features,spotify:track:2BgEsaKNfHUdlh97KmvFyo
71,0.718,0.0962,173.841,0.238,0.578,3.45e-05,4,0.74,11,260000,-5.689,0.634,0,audio_features,spotify:track:6ilPvEFcvuE8306ytmzSi9
72,0.552,0.104,97.949,0.097,0.0765,0.334,4,0.596,0,229320,-10.278,0.112,0,audio_features,spotify:track:6zeeWid2sgw4lap2jV61PZ
73,0.408,0.394,76.309,0.0524,0.771,7.88e-06,4,0.426,3,204712,-9.419,0.528,1,audio_features,spotify:track:41CgzGD7xlgnJe14R4cqkL
74,0.663,0.0668,108.992,0.0628,0.0599,0.0,4,0.811,8,208284,-4.543,0.811,1,audio_features,spotify:track:5wIMMlbIGCNAXnGy0ijojN
75,0.668,0.184,143.919,0.0295,0.587,5.32e-05,4,0.621,1,234500,-7.07,0.736,1,audio_features,spotify:track:7ei0VnJbGojtdCDCp2Mow1
76,0.801,0.0642,95.881,0.228,0.157,4.82e-06,4,0.842,8,212500,-4.167,0.617,0,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM
77,0.699,0.0969,124.896,0.0578,0.423,0.0,4,0.665,11,190932,-5.265,0.585,1,audio_features,spotify:track:5tAa8Uaqr4VvA3693mbIhU
78,0.597,0.142,179.857,0.0673,0.335,0.0,4,0.539,0,216647,-4.83,0.436,1,audio_features,spotify:track:6uHoPVdPEqXlH1Kd3KqTIJ
79,0.637,0.368,177.913,0.0703,0.0722,0.0,4,0.383,3,260773,-6.993,0.0827,1,audio_features,spotify:track:2RSHsoi04658QL5xgQVov3
80,0.484,0.114,135.866,0.0326,0.807,8.51e-05,4,0.553,9,268329,-8.12,0.196,1,audio_features,spotify:track:76rs0Apd4Ct5LwJm8pB6r1
81,0.704,0.166,133.002,0.0476,0.0691,0.0,4,0.719,1,187436,-4.724,0.628,1,audio_features,spotify:track:25sgk305KZfyuqVBQIahim
82,0.686,0.2,89.949,0.243,0.549,0.0,4,0.632,6,170770,-7.665,0.329,0,audio_features,spotify:track:7FGq80cy8juXBCD2nrqdWU
83,0.175,0.625,93.994,0.0594,0.603,0.0,4,0.798,0,181520,-12.603,0.633,1,audio_features,spotify:track:6fFTPGGItuEpjwXRUIr4rk
84,0.743,0.465,125.944,0.0393,0.237,0.0,4,0.67,10,218293,-4.993,0.571,1,audio_features,spotify:track:6mQLN3zRtAp6ovjusyYKrV
85,0.57,0.139,119.98,0.069,0.198,0.0,4,0.816,8,280042,-9.489,0.674,1,audio_features,spotify:track:55qYCDL74valBWZQQQccW2
