,Position,Track Name,Artist,Streams,date,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
127,128,medicine,Bring Me The Horizon,25300,2019-01-06,0.858,0.0789,97.038,0.0396,0.00393,0.0,4,0.615,0,227265,-3.3,0.323,1
128,129,SICKO MODE,Travis Scott,25214,2019-01-06,0.73,0.124,155.008,0.222,0.00513,0.0,4,0.834,8,312820,-3.714,0.446,1
129,130,Young Dumb & Broke,Khalid,25031,2019-01-06,0.539,0.165,136.949,0.0421,0.199,1.66e-05,4,0.798,1,202547,-6.351,0.394,1
130,131,Siren,SUNMI,25008,2019-01-06,0.905,0.0592,122.012,0.0369,0.0142,0.0,4,0.61,9,199134,-3.686,0.521,0
131,132,IDGAF,Dua Lipa,24910,2019-01-06,0.544,0.0824,97.028,0.0943,0.0403,0.0,4,0.836,7,217947,-5.975,0.51,1
132,133,เพื่อนไม่จริง,Polycat,24907,2019-01-06,0.726,0.0459,116.985,0.0339,0.159,0.0,4,0.676,11,274000,-4.953,0.734,0
133,134,Say You Won't Let Go,James Arthur,24805,2019-01-06,0.557,0.0902,85.043,0.059,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1
134,135,Youngblood,5 Seconds of Summer,24786,2019-01-06,0.854,0.124,120.274,0.463,0.0169,0.0,4,0.596,7,203418,-5.114,0.152,0
135,136,Miracle,GOT7,24746,2019-01-06,0.34,0.109,173.452,0.0299,0.808,0.0,3,0.398,8,250849,-7.209,0.464,1
136,137,FIANCÉ,MINO,24721,2019-01-06,0.759,0.128,139.922,0.0326,0.0281,0.0,4,0.661,5,207925,-3.247,0.466,1
137,138,ถ้าฉันหายไป(Skyline),Earth Patravee,24690,2019-01-06,0.29,0.119,169.757,0.0318,0.826,0.0,4,0.454,8,220112,-10.707,0.208,1
138,139,Status,Chilling Sunday,24542,2019-01-06,0.587,0.354,88.055,0.0369,0.509,0.0,4,0.653,2,245500,-7.01,0.366,1
139,140,New Rules,Dua Lipa,24520,2019-01-06,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0
140,141,I Love You,EXID,24496,2019-01-06,0.832,0.469,111.997,0.0288,0.000371,0.000483,4,0.695,9,194699,-3.455,0.249,0
141,142,ไม่มีเหตุผล (feat. นายนะ),MARINA,24492,2019-01-06,0.52,0.0923,143.965,0.141,0.364,0.0,4,0.828,6,244583,-6.852,0.453,1
142,143,Shape of You,Ed Sheeran,24474,2019-01-06,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0
143,144,Shallow,Lady Gaga,24388,2019-01-06,0.385,0.231,95.799,0.0308,0.371,0.0,4,0.572,7,215733,-6.362,0.323,1
144,145,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,23838,2019-01-06,0.794,0.388,114.066,0.0671,0.00987,1.36e-06,4,0.601,7,217467,-5.844,0.244,0
145,146,Be Alright,Dean Lewis,23824,2019-01-06,0.586,0.0813,126.684,0.0362,0.697,0.0,4,0.553,11,196373,-6.319,0.443,1
146,147,Photograph,Ed Sheeran,23753,2019-01-06,0.379,0.0986,107.989,0.0476,0.607,0.000464,4,0.614,4,258987,-10.48,0.201,1
147,148,Waste It On Me (feat. BTS),Steve Aoki,23726,2019-01-06,0.684,0.72,96.097,0.0585,0.252,0.0,4,0.669,7,192537,-4.595,0.466,1
148,149,งู้ยยยยยยยยยยย,Oat Pramote ft. Urboy TJ,23708,2019-01-06,0.336,0.111,105.025,0.0436,0.796,1.06e-05,4,0.673,8,210836,-10.088,0.631,1
